"band","n","mean","median","sd","p10","p90","pct_neg"
"1-5",135,19.2626962962963,-41.815,327.861396030789,-321.8112,409.2678,0.511111111111111
"6-10",135,-65.5180740740741,-120.426,272.236418926847,-336.29,313.112,0.740740740740741
"11-15",135,-98.477,-101.919,160.101827502365,-274.4086,71.5762000000001,0.814814814814815
"16-20",135,-76.5172888888889,-71.367,147.088744464718,-240.9718,90.1812,0.792592592592593
"21-30",270,-59.1334407407407,-55.821,135.375952888367,-201.8508,79.6237,0.774074074074074
"31-45",405,-44.8424617283951,-31.218,104.616837617639,-158.3186,0,0.750617283950617
"46-60",383,-26.6758537859008,-3.366,62.130846873551,-92.0388,0,0.566579634464752
